"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Order"	"Dataset"	"Comparison"	"Author"
"DAP3_0958"	0.00810313477584457	4.08849573651012e-05	-4.16795567871214	1.93608915991406	-0.312132706374083	"SLCO2A1"	"solute carrier organic anion transporter family, member 2A1"	31	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_2204"	0.00851507303351279	4.54820720988058e-05	4.14209843904634	1.84061657573703	0.27462643678161	"SMPDL3A"	"sphingomyelin phosphodiesterase, acid-like 3A"	32	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_3482"	0.00851507303351279	4.6700316984042e-05	-4.13566433566671	1.81694106472019	-0.363040752351091	"PTK7"	"PTK7 protein tyrosine kinase 7"	33	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_5021"	0.00851507303351279	4.76966365937746e-05	4.13052016293659	1.79803537656491	0.346387669801461	"CDK6"	"cyclin-dependent kinase 6"	34	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_3988"	0.00851507303351279	4.87333994849247e-05	4.12527479148967	1.77877907533614	0.335231452455581	"SATB1"	"SATB homeobox 1"	35	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_2927"	0.00851507303351279	4.9893006055739e-05	-4.11953244797233	1.75772302143354	-0.366851619644725	"UNG"	"uracil-DNA glycosylase"	36	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_4020"	0.00910326577613183	5.57961568650344e-05	-4.09213900449251	1.65763212166333	-0.190992685475436	"AP1B1"	"adaptor-related protein complex 1, beta 1 subunit"	37	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_5800"	0.00910326577613183	5.63027505685237e-05	-4.08991851481715	1.6495446195052	-0.179478056426339	"GARS"	"glycyl-tRNA synthetase"	38	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_5047"	0.00951754942258776	6.04141320769731e-05	-4.07257058393086	1.58649300760361	-0.470743991640544	"CRIP2"	"cysteine-rich protein 2"	39	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_3582"	0.0103163872115422	6.80988005277884e-05	-4.04296303765376	1.47943011625679	-0.263999477533956	"CDC42BPA"	"CDC42 binding protein kinase alpha (DMPK-like)"	40	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_3096"	0.0103163872115422	6.88430787228562e-05	4.04026662626397	1.46971401393398	0.223349529780569	"SH3BGRL"	"SH3 domain binding glutamic acid-rich protein like"	41	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_5829"	0.0104572933503281	7.22597754046995e-05	4.02823377883211	1.42642539722895	0.566880355276915	"MT1G"	"metallothionein 1G"	42	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_2296"	0.0104572933503281	7.31874371849136e-05	4.02506016060996	1.41502722870572	0.210932601880875	"KCNMA1"	"potassium large conductance calcium-activated channel, subfamily M, alpha member 1"	43	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_3057"	0.0111015268504665	7.9503121975997e-05	4.00441853011927	1.34108620817874	0.324503657262271	"SLC39A8"	"solute carrier family 39 (zinc transporter), member 8"	44	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_2811"	0.0120802806025028	8.84786176941126e-05	-3.97761782786071	1.24558555890498	-0.393998432601883	"TRIP13"	"thyroid hormone receptor interactor 13"	45	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_5117"	0.0126879586090027	9.49944817731324e-05	-3.95973406026488	1.18217592022808	-0.148493730407536	"MDK"	"midkine (neurite growth-promoting factor 2)"	46	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_5801"	0.0135259702251533	0.000106864920264345	-3.92995720755843	1.07716124690671	-0.277928422152552	"PDE9A"	"phosphodiesterase 9A"	47	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_2383"	0.0135259702251533	0.000108922664205492	3.92511706022513	1.06015805066047	0.292107105538134	"RAB27A"	"RAB27A, member RAS oncogene family"	48	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_3778"	0.0135259702251533	0.000110500935932922	-3.92146312558939	1.04733432158167	-0.377863113897593	"JAG1"	"jagged 1 (Alagille syndrome)"	49	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_4205"	0.0135259702251533	0.000111537927018159	3.91908918462579	1.03900851729777	0.47019540229884	"MPPED2"	"metallophosphoesterase domain containing 2"	50	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_0979"	0.0135259702251533	0.000112276120033011	3.917411989052	1.03312902208117	0.330365203761751	"FAM129A"	"family with sequence similarity 129, member A"	51	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_3777"	0.0141022493899805	0.000121811688981521	3.89663892638628	0.960493957367519	0.364489028213148	"NPAL3"	"NIPA-like domain containing 3"	52	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_1042"	0.0141022493899805	0.000124678026193663	-3.89069565584331	0.939776095827416	-0.220212121212102	"HDAC1"	"histone deacetylase 1"	53	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_3858"	0.0141022493899805	0.000126513583231007	-3.88695731864602	0.926758948681496	-0.376236154649936	"FOXD1"	"forkhead box D1"	54	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_0840"	0.0141022493899805	0.000127685522321315	-3.88459731014755	0.918546987866391	-0.0892821316614398	"YWHAZ"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"	55	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_1883"	0.0141022493899805	0.000128536127252427	-3.88289721196065	0.91263403087164	-0.24842215256008	"ECE1"	"endothelin converting enzyme 1"	56	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_5683"	0.0145682905483934	0.000135155039267322	-3.87002086134766	0.867925020218896	-0.43195506792058	"RGS4"	"regulator of G-protein signalling 4"	57	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_0315"	0.0153231494118455	0.000144902456412864	-3.85210631013809	0.80594325133225	-0.10237408568443	"PSMA7"	"proteasome (prosome, macropain) subunit, alpha type, 7"	58	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_5741"	0.0153231494118455	0.000148451434981762	3.8458660108328	0.784413109770565	0.301144723093	"EPHX2"	"epoxide hydrolase 2, cytoplasmic"	59	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_5769"	0.0153231494118455	0.000152838539105558	3.8383443072649	0.758503409278588	0.370245036572625	"INPP4B"	"inositol polyphosphate-4-phosphatase, type II, 105kDa"	60	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_3910"	0.0153231494118455	0.00015510089773757	-3.83454497992768	0.745433282340983	-0.337092998955058	"UPK2"	"uroplakin 2"	61	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_0700"	0.0153231494118455	0.000158074159732917	-3.82963075213151	0.728544957848013	-0.0668981191222446	"ACTB"	"actin, beta"	62	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_2322"	0.0153231494118455	0.000161919198520158	3.82340372664697	0.707172910800202	0.338544932079406	"PRKCB1"	"protein kinase C, beta 1"	63	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_4018"	0.0153231494118455	0.000163012655912789	3.82165841848065	0.701188352156011	0.280868338557994	"TFF3"	"trefoil factor 3 (intestinal)"	64	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_1559"	0.0153231494118455	0.000163704870587217	-3.8205592638441	0.697420672202253	-0.116710031347964	"PDCD6"	"programmed cell death 6"	65	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_0623"	0.0153231494118455	0.000164604144072559	3.81913787113882	0.692549865157243	0.577407523510983	"EGF"	"epidermal growth factor (beta-urogastrone)"	66	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_2016"	0.0162595848357574	0.000177309925780557	-3.79980346986853	0.626456413973842	-0.477728840125394	"CACNA1D"	"calcium channel, voltage-dependent, L type, alpha 1D subunit"	67	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_0745"	0.0167246986752496	0.000185104086900549	3.78858149059473	0.588232797162604	0.342968129571579	"BMPER"	"BMP binding endothelial regulator"	68	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_4217"	0.016765906030367	0.000189176543193703	-3.78289444144764	0.568900665809752	-0.157431556948797	"UBAP2L"	"ubiquitin associated protein 2-like"	69	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_2222"	0.016765906030367	0.00019101780959077	-3.78036105524143	0.560297257129633	-0.572889237199583	"ATP8A2"	"ATPase, aminophospholipid transporter-like, Class I, type 8A, member 2"	70	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_3448"	0.0188381750506729	0.000218728452951472	-3.74478709985947	0.44003488339341	-0.277076802507839	"COL4A1"	"collagen, type IV, alpha 1"	71	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_5088"	0.0188381750506729	0.000220759863875072	3.74234959889616	0.431832035963647	0.314676593521419	"ABAT"	"4-aminobutyrate aminotransferase"	72	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_3158"	0.0204758863507914	0.000243315688555309	-3.71662138889924	0.345543029496634	-0.25956948798328	"SECISBP2"	"SECIS binding protein 2"	73	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_3001"	0.0204758863507914	0.000246617120761484	3.71304591680436	0.333593821728153	0.26018704284221	"GFPT2"	"glutamine-fructose-6-phosphate transaminase 2"	74	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_1676"	0.0207002397421387	0.000252688473414779	3.70658685133561	0.312033947734409	0.264503657262283	"METTL7A"	"methyltransferase like 7A"	75	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_2995"	0.0217026816255057	0.000269004151878376	-3.68992809078787	0.25658456686031	-0.439334378265416	"HLXB9"	"homeobox HB9"	76	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_2265"	0.0217026816255057	0.000271989987819652	-3.68698293737583	0.246804951026045	-0.535388714733534	"SCUBE2"	"signal peptide, CUB domain, EGF-like 2"	77	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_4307"	0.0228903058057259	0.000290599585424255	-3.66928572163654	0.188188468479654	-0.354690700104499	"LAMC1"	"laminin, gamma 1 (formerly LAMB2)"	78	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_3606"	0.0254767626699433	0.000330354112113232	-3.63480393636507	0.0747109840833549	-0.403542319749223	"XRCC2"	"X-ray repair complementing defective repair in Chinese hamster cells 2"	79	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_0361"	0.0254767626699433	0.000331728680598219	-3.63368291074391	0.0710380312617831	-0.542203761755479	"COL9A2"	"collagen, type IX, alpha 2"	80	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_5698"	0.026669997624778	0.000352098253378137	3.61756354453163	0.0183376701612223	0.402445663531878	"C2"	"complement component 2"	81	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_3985"	0.026669997624778	0.000355947233924446	3.61461651288275	0.00872565618470844	0.247651515151508	"MT1X"	"metallothionein 1X"	82	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_1170"	0.027030626134513	0.000370373213137226	3.60383130137665	-0.0263907398995702	0.325228317659358	"MT1F"	"metallothionein 1F"	83	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_0822"	0.027030626134513	0.000372283146614609	-3.60243309563432	-0.0309362966331657	-0.564617554858925	"KCNN2"	"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2"	84	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_2208"	0.027030626134513	0.000373958857655209	3.60121189809033	-0.0349050920010043	0.191608672936274	"PFKFB1"	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1"	85	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_1990"	0.0281406308566449	0.000395404128921532	-3.58602151167675	-0.0841705807700137	-0.264901776384535	"GPR137B"	"G protein-coupled receptor 137B"	86	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_2952"	0.0281406308566449	0.000401282912850183	-3.58199256655448	-0.0972055436006851	-0.108655172413803	"RHOA"	"ras homolog gene family, member A"	87	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_4041"	0.0281406308566449	0.000403055910707154	-3.5807883443408	-0.101099015737676	-0.484470741901774	"BIRC5"	"baculoviral IAP repeat-containing 5 (survivin)"	88	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_4229"	0.0288753933641333	0.000418279623927062	-3.57064839866684	-0.133836162441177	-0.119914838035516	"ATP5B"	"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide"	89	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_2890"	0.0293123775433349	0.000429380530419945	3.56347066495906	-0.156958719181341	0.230760188087773	"DLGAP1"	"discs, large (Drosophila) homolog-associated protein 1"	90	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_2152"	0.030014981523577	0.000446582567453502	-3.55268494498271	-0.191624606362922	-0.248027168234065	"PLCG1"	"phospholipase C, gamma 1"	91	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_2954"	0.030014981523577	0.000455296861544057	-3.54736899150734	-0.208675206968111	-0.362673981191218	"OCLN"	"occludin"	92	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_1276"	0.030014981523577	0.00045761912708245	-3.54596845717396	-0.213163470602905	-0.173313479623816	"MTA1"	"metastasis associated 1"	93	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_2459"	0.030014981523577	0.000461449521742407	3.54367288798612	-0.220516546271007	0.263105015673984	"PTPRM"	"protein tyrosine phosphatase, receptor type, M"	94	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_0442"	0.030014981523577	0.000467734779868381	-3.53994455559451	-0.232449757803071	-0.46422152560084	"INHBA"	"inhibin, beta A (activin A, activin AB alpha polypeptide)"	95	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_5741"	0.030014981523577	0.000468984086305891	-3.53920908543603	-0.23480241487126	-0.432292058516195	"TOP2A"	"topoisomerase (DNA) II alpha 170kDa"	96	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_3050"	0.0310236206693153	0.000489793490384698	3.52722132123339	-0.273086699168003	0.348890804597699	"TGFB2"	"transforming growth factor, beta 2"	97	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_1360"	0.0312691238833152	0.000498758811940899	-3.52220320348055	-0.289077502824101	-0.447835945663549	"KHDRBS3"	"KH domain containing, RNA binding, signal transduction associated 3"	98	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_1688"	0.0313186296952798	0.000504645888644646	-3.5189538445358	-0.299420892190858	-0.121237199582028	"TFDP1"	"transcription factor Dp-1"	99	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_4238"	0.0323834582473308	0.000527074515744316	3.50689148657381	-0.337741800993143	0.390925287356312	"CHRNA2"	"cholinergic receptor, nicotinic, alpha 2 (neuronal)"	100	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_0861"	0.0326070061073053	0.000536020119928033	3.50221416554875	-0.352568906015667	0.157575235109713	"PRKCZ"	"protein kinase C, zeta"	101	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_1309"	0.0331060718691219	0.000549612521264718	-3.49524531688986	-0.374626673575857	-0.339150470219428	"AYTL2"	"acyltransferase like 2"	102	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_4214"	0.033589790561403	0.000563110095674562	-3.48848300324077	-0.395992396559915	-0.202254440961328	"RGS5"	"regulator of G-protein signalling 5"	103	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_2816"	0.03381635423375	0.000584591397616476	3.47802756431705	-0.428952313907993	0.183094043887143	"CD1E"	"CD1e molecule"	104	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_0648"	0.03381635423375	0.000588828837590217	-3.47600765299994	-0.43530950801983	-0.420990595611288	"FAM110B"	"family with sequence similarity 110, member B"	105	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_1588"	0.03381635423375	0.000589118222395525	3.47587020519467	-0.435741969992106	0.111075235109714	"MT2A"	"metallothionein 2A"	106	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_1051"	0.03381635423375	0.000593114702185768	-3.47397844908471	-0.441692552365035	-0.151130094043877	"PRDX6"	"peroxiredoxin 6"	107	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_3894"	0.03381635423375	0.000596821101921397	-3.47223463492933	-0.447175157608714	-0.397496865203752	"VEGFA"	"vascular endothelial growth factor A"	108	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_3399"	0.03381635423375	0.000599932065670369	-3.47077877055074	-0.451750514003168	-0.17927429467084	"EIF4G3"	"eukaryotic translation initiation factor 4 gamma, 3"	109	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_3111"	0.0341319928555083	0.000611087111670884	-3.46561588632215	-0.467961819807726	-0.214592998955062	"CTNNAL1"	"catenin (cadherin-associated protein), alpha-like 1"	110	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_1629"	0.0350328279734574	0.000632917302254846	-3.45576239395521	-0.498840285491181	-0.352499477533957	"LMNB1"	"lamin B1"	111	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_2035"	0.0366214179914675	0.000667577932136126	3.44075220305291	-0.545724083059359	0.237991118077334	"SEZ6L"	"seizure related 6 homolog (mouse)-like"	112	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_3354"	0.0371378474756866	0.000688928832083899	-3.43186455049844	-0.57339633745063	-0.149778996865203	"ATP5J"	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6"	113	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_2729"	0.0371378474756866	0.000692291490643977	3.43048830842721	-0.577675494883531	0.478016718913267	"BANK1"	"B-cell scaffold protein with ankyrin repeats 1"	114	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_5653"	0.0371378474756866	0.000695125725863275	-3.4293331774132	-0.581265937618147	-0.278226750261235	"JTV1"	NA	115	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_4265"	0.0373314921786545	0.000706863804056419	-3.42459554255911	-0.595980137341163	-0.310452978056432	"MCM6"	"minichromosome maintenance complex component 6"	116	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_1407"	0.0373314921786545	0.000710902438948987	3.42298248040821	-0.600985753438721	0.215241901776393	"ADH5"	"alcohol dehydrogenase 5 (class III), chi polypeptide"	117	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_4823"	0.0373911950254072	0.000718125164875985	-3.42011889290584	-0.609866649787673	-0.249500522466045	"PAK4"	"p21(CDKN1A)-activated kinase 4"	118	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_1617"	0.0377242009859362	0.000734076000308855	-3.4138890019681	-0.629164006680528	-0.467845350052244	"PEX10"	"peroxisome biogenesis factor 10"	119	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_2370"	0.0377242009859362	0.000739655168913875	-3.41173976619037	-0.635813879376922	-0.116392894461852	"HNRPAB"	"heterogeneous nuclear ribonucleoprotein A/B"	120	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_1549"	0.0377242009859362	0.000747617025212481	-3.40869872737634	-0.645216491417711	-0.148590909090904	"CYC1"	"cytochrome c-1"	121	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
